Polarity,Text
Neg,الهيدروليك متفقعة ما تتشغل.
Pos,جربت اكسنت كان استهلاكها افضل كثير.
Mix,اغلب السيارات بل نسبه كبيرة يوجد فيها نظام ECO نظام يقلل استهلاك نسبه الوقود مثلا الاكورد صحيح السعر طاير و لكن بالصرفية نسبتها أقل.
Mix,اكسنت افضل كصرفية داخل المدينة استخدامها و لا تنفع للخطوط ابد.
Neg,عندي مشكلة جننتني في سيارتي كيا اوبتيما 2009 المشكلة عند تشغيل المكيف لمبة الاي سي شغالة لكن الكمبروسر ما يشتغل.
Pos,مواصفاتها حلوة وأسعار مناسبة جدا.
Pos,برادو 2018 بالفيس لفت الجديد مواصفات جيدة و شكل أحلى من قبل.
Pos,اذا تهتم بسعر إعادة البيع البرادو افضل بلا شك.
Neg,السيارات هذي مكينتها حجم صغير و قوتها محدودة.
Neg,ما هو محتاج سيارة هايبرد لان سعرها و صيانتها على المدى البعيد تكلف أكثر من سعر وصيانة سيارة بمحرك عادي.
Neg,بيتغير شكله و وكيله سيء و عند البيع يطول معك.
Pos,وكيل بالصيانة كويس.
Pos,عند البيع مرغوب.
Pos,البرادو ينتصر بشكل جديد وصيانة.
Neg,الصني مطبها قاسي ومراتبها مو مريحة وديكورها من الداخل سيء.
Pos,"برادو اذا تبغى شيء عملي و تصليحه سهل واذا انك ساكن في مدينة صغيرة ما تتعب في قطع الغيار وطبعا ينفع حق بر, واذا يهمك سعر البيع."
Pos,البرادو يعتبر شعبي و معروف في البيع و الشراء وقطع غياره عند الوكيل ياباني درجة أولى متوفرة وصيانته سهلة و معروفة.
Pos,سعر اعادة البيع ممتاز جدا.
Pos,الشيروكي تصنعه شركة JEEP العريقة و المعروفة.
Pos,سيارة لا يعلى عليها.
Mix,قراند شيروكي موتر فخم و قوي ولكن قطع غياره غالية.
Mix,الشيروكي طيارة و فيه تكنولوجيا متقدمة بالتالي أغلى بالصيانة.
Mix,تبي موتر صح و ما تفكر بالبيع خذ شيروكي.
Pos,الفل كشكل الخارجية خرافي و الداخلية كذلك.
Pos,الستاندر ميزته السعر.
Neg,مواصفات التورس قليلة و غالي.
Neg,"سوناتا, راح تعيش معك 5 سنوات و كثر الله خيرها, ووقتها اما بتكون مفككة او راح تطلب قطع."
Neg,اليارس عزمها طايح و تصرف و ضيقة.
Neg,حصلت لي مشكلة في الهايلكس 2016 ماشيه 37 الف وهي عند تشغيل السيارة في الصباح ينزل ضغط الهواء اشوي يرتجف الشكمان و يطلع ريحة كربون.
Pos,الاكسنت أقوى عزم و أقل صرفية و شكلها كشخة.
Neg,المشكلة الموتر يقطع هواء وهو شغال ثمن يرجف الشكمان.
Neg,هذا الزيت ابد ما ينفع بالشتاء السيارة تطول حتى تسخن بالصباح و الليل.
Pos,اشتريت اكسنت لأنها أعلى مواصفات فيها مانع انزلاق و نظام الثبات على الطريق.
Neg,الهوبات كل مره تخرب و اخرطها و الحين ما ينفع تنخرط.
Pos,الياباني ممتاز و مجرب.
Neg,كل شوي تخرب اكيد فيها مشكلة تخربها.
Pos,سعر الهوبات أشوفه ممتاز و لا هو غالي.
Pos,في تحسينات كبيرة في الاشياء المهمة زي استهلاك الوقود و الرسو على الطريق و الراحه وقوة الهيكل و التكييف و المحرك.
Neg,الحرارة ما انتهت و العزم ميت.
Neg,المشكلة الان في التشغيل و النفضة.
Neg,الحرارة ترتفع كل ما زادت السرعة.
Neg,"لا تاخذ مكينة 2,0 ضعيفة و بتكرهها انا جربتها سيارة الشركه و الله سامجة."
Neg,طلعت جيب سنتافيا 2017 فل و أول ما طلعت عبيت فل بنزين 91 وعند توقفي عند الاشارة يطفي المحرك و اقوم بالتشغيل و امشي طبيعي و تكررت المشكلة معي عند التوقف و المكيف شغال علما اني ماوصلت 80 ك أرجو افادتي هل البنزين سبب في المشكلة ام عيب في السيارة.
Neg,انا طلعت اكسنت 2017 وبعد ما مشت 100 كيلو باليوم الثاني تطفي أول ما اشغل المكيف.
Pos,سعره يستاهل و بقوة.
Neg,"البنزين بيرتفع, توريس بيفلسك البنزين."
Pos,سيارة مريحة و موفرة للطاقه.
Pos,سوناتا افضل اقتصادية و عملية و قطع أرخص.
Neg,التورس أصبحت مستهلكة نفس الشكل.
Pos,السوناتا أجمل و قطعها أرخص و صرفيتها حلوة.
Pos,"التورس افضل في الخطوط على سرعات عالية, عزل افضل, ثبات و ايرباق."
Neg,ضيقة من الداخل و شكلها بيتغير و قطعها الخارجية غالية و تصرف بنزين داخل المدينة.
Neg,سيارة منظرها بشع و ما تخدمني.
Neg,سيارة مبالغ في سعرها جدا جديدة ب 170 الف ريال !! المشكلة لا شكل و لا مواصفات تسوى هالقيمة بقيمتها عندي بدائل كثيرة هي حدها بالكثير جديدة ب 120 الف ريال اما فوق هالقيمة ما تستاهل ابد.
Neg,كمكينة وعزم وخدمة لا تخدمك للمدى الطويل بسبب رداءة الجوده داخليا وخارجيا.
Pos,مكينة قوية وراحه وعزل صوت جميل و اتساع من الداخل و جوده ممتازة من الديكور و تعيش معك فترة طويلة.
Pos,الامريكي يخدم للمدى الطويل و الدليل لحتى الآن نشاهد سيارات أمريكية في شوارعنا موديلاتها 1980 فما فوق.
Pos,إنها أكثر أكورد متعة في القيادة و أكثرها تميزا في التصميم.
Pos,الالنترا سيارة كرف ما عليها و انتشارها بحد ذاته يخليك تاخذها وانت مقتنع.
Mix,و الله عندي سوناتا 15 ماشيه 145 ما واجهت فيها اي مشاكل ما عدا المكيف اذا ما يهمك التكيف فالسيارة طيبة.
Pos,النترا تعدت حاجز الـ 500 الف باقي شغالة طبيعي موجوده في مزاد سيارات الاجره في الشرقية.
Pos,شكل جديد يبي يبقى بالقليل ثلاث سنين قدام إن شاء الله.
Mix,النترا معروفة تكرف بس اذا تستعمله خطوط نصيحة ابتعد عنه.
Neg,عزلها مشي حالك جنوط 17 ودعسة واطية العزل بيكون سيء.
Neg,السوناتا عزمها مو قوي.
Pos,الفورد مكينتها تتحمل الخطوط الطويله لان ما عليها ضغط.
Neg,ما تخدم و ديكوراتها الداخلية و الخارجية رديئة.
Pos,اللي شافتو عيني قبل اربع سنوات بدبي سوناتا 2010 ماشيه 634 الف بدون أي مشاكل في القير او المكينة اقولها بكل صدق رغم اني مو من ملاك هونداي لكن الي شايفو انو سيارات كرف.
Neg,كفائتها أقل من المطلوب.
Pos,معروف انها ضيقة من الداخل.
Pos,الكوري حاليا متفوق على الامريكي و المبيعات و الارباح تشهد غير تفوقها في اختبارات السلامة و تحطيمها ارقام قياسية.
Pos,هيونداي من أعلى 5 سيارات مبيعا.
Pos,شركة لها انتشار قوي في امريكا الشمالية و الجنوبية و اوروبا و افريقيا و استراليا و اسيا.
Neg,الأكثرية يشتكوا من مكيف الهونداي عموما خاصة بالظهر.
Mix,يا ما شفت سيارت تاكسي النترا ماشيه 400 و أكثر بدون أي مشاكل لكن تلقى العضلات منتهية.
Pos,التاهو الجديد صرفية البنزين أقل بكثير عن الموديلات السابقة.
Pos,تشتري و انت مرتاح و قطع غيار متوفرة و صيانة و ضمان و دلع.
Neg,لمن اتحركت صارت رجة خفيفة في الموتر و لمبة الزيت ولعت بالإضافة للمبة المحرك.
Mix,السيارة عاشق لها من زمان لكن متخوف من صيانتها.
Pos,السيارة على حجمها جدا قوية و تسارعها حلو و خفيفة بالاستخدام داخل المدينه او السفر و راسية و حلوة.
Pos,اذا تبي قوة أداء معقولة خذ لك E430 و بنفس الوقت ما راح تتعب بالصيانة نهائيا.
Pos,اخوي معاه كرايسلر 2007 ما شاء الله تبارك الله بحياتي ما شفت سيارة فخمة قطع غيارها بهالرخص طرمبة موية ب 380 ريال موبار اصلية و فيه قطع غيار واجدة رخيصة وناسيها حتى اقول لراعي محل قطع الغيار منصدم من قطع الغيار و رخصها قالي ايه قطعها موية ما شاء الله تبارك الله.
Neg,جلد البلوف معدومة.
Neg,في الفورد تنعدم الكويلات و جلد البلوف بسرعة.
Neg,المكينة مبوشة و يطلع الزيت مع الشكمان.
Mix,هو كويس لكن يقال انو اذا خرب لا سمح الله ما يتوضب.
Mix,السبب يعود إلى سمعة الجير بأنه مشاكله كثيرة و أكبر دليل سيارات نيسان التيما التي اشتهرت بمشاكل جير CVT و أيضا صيانته مكلفة جدا وليس أي شخص يستطيع توضيبه و بشكل عام الورش بيقولك بدله كامل و ما يتوضب. اما مميزاته في استهلاك الوقود يصرف أقل من الجير الاوتوماتيك و الجير العادي. 
Neg,المصانع ما يبيعون كلتشات لحالها عشان لا تغيرها ويصير معك قير جديد شغل لعانة.
Neg,الاوبترا مشاكلها مشاكل الله فكنا منها سيارة ما تسوى ريال.
Mix,من ايجابياته عزم و موفر للوقود. سلبيته يسخن و اذا صار عندك مشكلة فيه تتبهذل ما تلقى احد يعرف له.
Neg,قطع البودي بتتعبك اذا احتجت.
Pos,و لا اشتكيت منه ابد وكان من افضل السيارات اللي امتلكتها.
Pos,قطع الغيار الامريكية عد واغلط من كثرتها.
Pos,انا تابعت في الانستقرام مقاطع قومات للالتيما 6 سلندر ما شاء الله تبارك الله طيارة و اعتقد الموديلات الجديدة تلافوا الأعطال و المشاكل القديمة و راح تشوفه ينتشر انتشار قوي في السوق مثله مثل القير الاتوماتيك أول ما نزل.
Pos,قير CVT هو الجيل الجديد وله مستقبل باهر و الدليل كبرى الشركات مثل تويوتا و هونداي صارت تحطه بسيارتها و النقطة الأهم مو معقول شركات بهذا الحجم تغامر بمبيعاتها وتحط قير سيء غير عملي !!!.
Pos,البرادو الأجدر و الارغب عالميا بجميع دول العالم.
Neg,انصحك لا تتهور لأنك ما راح تقدر تلاقي احد يشتريه اذا جيت تبيعه.
Pos,المازدا نفس السعر تقريبا و تخدم معك أكثر و افضل حتى لو أحتجت صدام شمعه رفرف أي شيء جديدة وكالة أرخص من قطع الماليبو تشليح و استخدامها نفسيا افضل من الماليبو.
Neg,سيارتي كيا ريو 2011 و أشم داخل الغمارة ريحة بنزين.
Mix,المازدا فيها عيوب بالنسبة لي متعبة مثل العزل و القساوة و الكراسي وعدم وجود شاشة في الستاندرد. كل هذا ما يمنع انها في نظري اعتمادية وقطع غيارها تعتبر من الأرخص.
Pos,بصراحه بهرتني الماليبو بتصميمها و سعرها ما هو بعيد و فيها شاشة كويسه.
Neg,انا ركبت المازدا 2014 و السيارة واقفه المراتب جدا قاسية بشكل ملحوظ.
Neg,أسمع صوت سائل او ماء يسري وخاصة عند تشغيل السيارة وبعده يختفى هذا الصوت.
Neg,ما انصح به أعطاله كثيرة على الرغم انه جديد.
Pos,للحين أشوفه تمام و كارفه كرف.
Pos,المواصفات حلوة و راسي بالخط و صرفيته ممتازة 91 وتقدر تجرب بالوكالة.
Neg,مشكلة دودج بشكل عام قطعها غالية هذه لازم تحسبها للمدى البعيد.
Neg,ما تحصل قطع غيار لا تشليح و لا درجة ثانيه.
Mix,سيارت الدوج معروف بقوتها لكن الوكيل سيء.
Mix,"انتشارها محتكر على وكيل واحد, لكنها مميزة."
Neg,انا مجرب 2012 الأعطال اللي جت السيارة الدينمو خرب و كذالك صعوبة في التشغيل يقولون عيب مصنعي هذا غير جلد العكوس و الركب و عمود التوازن و بعد صوت تكتكة بدايه التشغيل و اخر شي قالوا توضيب و السيارة ما مشت 150 الف.
Pos,ركبت 2016 أعتقد المراتب تغيرت كثير ما لاحظت فيها قساوة و سواقتها ناعمة.
Pos,سواقتها ممتعة و مكيفها ما شاء الله بارد و فرامل جدا قوية و مراتبها حلوة.
Pos,عزم وصرفية و ثبات.
Pos,من تجربة 2015 وماشي فوق 150 الف ما اشتكى من شي مع العلم اصينه خارج الوكالة و بعز الصيف ما شفت فرق في التكيف او العزم.
Pos,موتر مريح و يتحمل الكرف.
Neg,الدرانجو سيارة لم يخدمةا وكيلها وأكثر القطع لازم طلبية و لو تروح للوكالة تحصل عندها سيارات حديثة مرمية لها فترة طويلة بسبب تاخر طلبيات قطع الغيار.
Neg,مشكلة بتشغيل الكابريس انها ما تشتغل على طول.
Neg,المصنع هو دايو وش تنتظر من دايو غير البلاوي ؟.
Neg,عندي مشكلة بالجيب اذا شديت بالرابع او الخامس يطلع فيه صوت تصفير خفيف.
Pos,"الموتر ما شاء الله تبارك الله, راسي بكل ما تعنية الكلمة و واسع من الداخل و عزم صلاتي على النبي."
Neg,طفت علي بنص الخط المكينة.
Neg,المشكلة الوحيدة اللي جابت لي الجنان و الزهايمر صوت رجة بالعمود ما عرفت الحل غيرت شيالات اصلية و وزنوا العمود و لا عرفت المشكلة.
Neg,من يوم شريتها و انا أصلح فيها كل شهر.
Neg,كانت معي 2001 ذوقتني الويل كل شوي حرارة و جلد مقصات و جلد سحب و هربدة.
Neg,كان عندي وحده شيبت راسي مع صيانة دوريه كل يوم و لا فيه فايدة.
Neg,كل يوم خراب و بعتها برخص افتكيت منها.
Neg,للأسف انا مستخدم لها منذ عام 2002 وحتى الآن و أقولها بملء الفم، سيارة لا تتحمل مثل غيرها، و ليست مناسبة للإستخدام اليومي، و ثقيلة في المشي.
Pos,سيارة 8 سلندر قوية رخيصة جداً.
Pos,مواصفات ممتازة و سعر حلو.
Pos,أعجبني أكثر شي ان من الاستاندر 6 ايرباقات و مثبت سرعة.
Neg,"اذا تبي موتر كد واستخدام اعد النظر و التفكير, و عندي اتنازل عن مواصفات, او شبه راحه و لا اخذ  موتر اجرجره بالورش و القروشة، و قلة الحياء وش يفيدني بمراتبه المريحة علشان اذا جلست بالورشة ارتاح بمراتبه حتى يخلص."
Neg,شفت موضوع بموقع حراج مع واحد ما يمدح عزل الهواء.
Pos,حليوه و الشنطة تنفع و مواصفات حليوه بسعر معقول.
Neg,الجيوب الصغيرة مره جدا غبية و لا هي مرغوبة ابد و حوسة قطعها خذ لك شي ماشي بالسوق يا خوي نصيحة اخ.
Pos,ممتازة حجم صغير سهلة السواقه و مريحة في الزحمات و سعر رخيص.
Mix,الامريكي دفع امامي ما نجح بالانتشار الا التوروس مع ان ضيقة من داخل و انوارها ضعيفة و قطع البودي غالية.
Mix,جيوب صغيرة قوية لكن سعرها عالي.
Neg,عندى مشكلة فى النترا 2014 مكينة كبيرة وهى صوت ضجيج بعد السرعة 50 او 60 تقريبا كانة صوت مروحة فيها خشونة.
Pos,انصحك بكامري استاندر قيمتها 65 الف و قطع غياره متوفرة و التكييف ما يحتاج.
Neg,عندي صوت من خلف الديكور له أكثر من سنة يزيد كل فتره الصوت مع مكيف أو بدون مكيف.
Pos,ينفع في المناطق الجبلية وعقبات طلوع ونزول.
Pos,CVT قير ناعم يصلح للقيادة الهادئة.
Pos,القير العايدي افضل في التحكم للطلوع و النزول.
Neg,الماكينة ضعيفة و CVT تصير على قول المثل أسمع جعجعة و لا أرى طحنا.
Pos,مشت فوق ال 300 ألف دون تخبيط و لله الحمد.
Pos,السعر لقطة.
Neg,السيارة تشتريها من وكيلها و يتملعن عليك و يراوغ و يلف و يدور علشان ما يصلح عطل او خراب مصنعي.
Pos,السيارات الخليجية الصيانة تقدر تفتح لها ملف بالوكالة في السعودية وتسوي الصيانة عادي.
Neg,اذا صار فيه عيب مصنعي بالسيارة الوكيل ما يصلحه على الضمان.
Neg,عندي مشكلة ظهرت قبل يومين تقريبا اذا عشقت القير R و باقي رجلي على الفرامل يجي نفضة في الموتر.
Neg,عندي سيارة نيسان سنترا بدت المشكلة بالتفتفة و امبير الضغط يطلع و ينزل مع الدعس على البنزين الان السيارة ما عاد تمشي ادعس بنزين وامبير الضغط ما يرتفع الا شيء بسيط و السيارة ثابتة في مكانها.
Neg,وكالة نيسان سيئة جدا.
Neg,السيارة تطفي فجأة.
Neg,ما احب السيارة اللي تجرجرني معاها من صيانة لورشة.
Neg,النترا مشكلتها مشكلة فيها مس حزات تشتغل على طول وحزات اقعد ساعات عشان اشغلها.
Pos,دامك تبي امريكي و تبي الراحه ليه ما فكرت في الفيوجن شعبيتها في امريكا افضل.
Neg,انا انصحك تبتعد عنها واعرف الكثير من الاصدقاء معهم الشكل الي قبل و السيارة ماشيه لكن كل فتره رايحين الوكالة عشان مشكلة.
Mix,مع اخوي ازيرا يمدح فيها بس يخاف تخرب و تأكل جيبه و صرفيتها عالية في البنزين.
Pos,السيارة عزمها ممتاز و ثبات على الطريق.
Pos,ممتازة و أسعار قطعها زينة و ما فيها خرابات.
Pos,التيما 2010 اللي معي عزل الصوت ممتاز.
Pos,نيسان شركة لها خبرة بالتصاميم الحديثة و العزل.
Neg,عزله بالنسبة لي سيء جدآ ما توقعته كذا.
Neg,المرتبة مشكلتها نازله لتحت مره ما تقدر ترفعها شوية فوق.
Neg,فيها قساوة و ضيق.
Pos,ما يحتاج الموتر غني عن التعريف مواصفات و فخامة و رساوة و عزم جبار فيه عيوب بسيطة مثل كل سيارة شي طبيعي ما فيه سيارة ما فيها عيوب.
Pos,بالنسبة للعزل ممتازة و هي من افضل السيارات بالعزل.
Pos,رقم العزل ممتاز ومن أقل السيارات.
Pos,عندي التيما 2009 وعزلها جبار حتى على السرعات العالية.
Neg,أنا عندي لكزس ES 2008 بنوراما عندي طقطقة في الأعلى من الخلف مع المطبات أو تمايل السيارة.
Neg,عيبها صغيرة و ضيقة خصوصا من الخلف و سعرها غالي.
Mix,الكيا تتفوق بكل شيء الا البنزين سيء جدا.
Neg,جوده الكيا سيئة.
Mix,الكادينزا حلوة لكن وكيلها بيطفشك.
Neg,الأكورد هي الافضل من ناحية الاعتمادية و الجوده.
Neg,الرنج قبل كم يوم عليه استدعاء.
Neg,كلها سنة و راح تطفش منها و ضيقة.
Pos,فخامة و عزل صوتي و قوة محرك.
Pos,الكدينزا تتفوق في الوسع و الراحه و القطع.
Neg,الاسكاليد في امريكا يعاني من مشكلة في الكهرب السالب.
Pos,السعر ممتاز مهو غالي.
Pos,الموتر مريح عملي فخم و قوي و يجمل في كل شي تبيه بر تبيه خط تبيه مدينة تبيه عايلة تبيه حق مناسبات مناسب لكل شي.
Mix,مع ولد جارنا يمدحه مدح مو طبيعي ما عدا استهلاك البنزين ماش لان مكينته كبيرة.
Pos,موتر ممتاز و عزمه يطربك صح.
Mix,ما فيه أي عيوب أو مشاكل أبد موتر حطه على يمناك لكن زي ما قالوا الشباب يعيبها الضيق شوي من ورا. اذا ما همك المساحة الداخلية اشتر و انت مغمض بعد.
Neg,مشيه في البر صعب شوي.
Pos,شكله فخم و أحلى بكثير.
Pos,سيارة سعرها فيها صراحه.
Pos,صرفية وقود فوق الممتازة.
Mix,افضل ما اخترت سيارة ما عليها خلاف بس لا تاخذ الاربعة سلندر و خليك مواظب على الصيانة في الشركة و بتعيش معاك إلى ما شاء الله.
Pos,تكييف و لا أروع.
Pos,أسعار قطع الغيار في متنأول اليد.
Neg,العزل لك عليه شوي.
Neg,المساحة الداخلية صغيرة مقارنة بالمنافسين.
Pos,حسنوها من ناحية الداخلية و اللمسات الخارجية البسيطة.
Neg,سيارتي فورد تورس 2012 فيها صوت ونة بالمكينة تظهر عند السرعات العالية فوق ال 100 وانا دايس بنزين.
Pos,و الله اكيد السوناتا ما عليها كلام قطعها متوفرة.
Neg,التكييف مهو بذاك الزود اللي متعود على الياباني.
Neg,المكينة خلطت ماء و زيت.
Pos,سيارة تكد و تجمل.
Neg,موديل قديم بتطلب صيانة.
Pos,معي وحده 2009 كوريه مكينة 2000 سي سي روعة بكل ما تعنيه الكلمة مكيف ثلج على رقم واحد تتحمل و صبورة سيارة اعتمادية.
Neg,لا تاخذ 4 سلندر توربو لان التوربو يطيح عزمه في الحر و هذا من تجربة للارنوبه 4 سلندر و الشيء الثاني مهي مريحة.
Mix,نعم مواصفات فقيرة لكن مواتر كفو تكد.
Neg,المكيف ضعف تبريده.
Pos,المكيف يا رجال أبرد منه ما فيه.
Pos,النيسان خلال السنوات القادمة راح تكتسح السوق بعد دخول وكلاء جدد.
Neg,عندي لمبة الجلنط معلقة و مولعة حتى لو نزلته ومشيت.
Neg,الاوبترا ما تصلح حرارة 24 ساعة عيب مصنعي و ما لها اي حل.
Pos,اشتر اكسنت أحسن قطع رخيصة و سيارة خدمة.
Pos,انا معي اوبتيما 2014 و مكيفها ما شاء الله تبارك الله ثلج الثلج.
Mix,سيارة للمدينة جيدة للاستخدام و لكن للخطوط متعبة عزم سيء، صوت مكينة مزعج.
Mix,موتر جيد جدا و خدوم و سعر معقول و قطعه متوفرة نفس الالنترا و لكن عزمه ضعيف.
Pos,سيارة ذات جوده و مميزات عالية و أقل سعرا.
Neg,اوبترا مشاكلها كثير صديقة للورش و سريعة التخبيط.
Pos,مركبها و صوتها ناعم.
Neg,تحك بالمطبات و الحفر تبي تطلع بر تحمل ركاب او اغراض ما لها شنطة.
Pos,انصحك باكورد سيارة ممتازة و عملية.
Neg,قطعه غالية و ما تحصل احد يصلحه الا بمبلغ و قدره.
Neg,المكينة متهالكة، نظام التبريد للسيارة متهالك، المكيف متهالك.
Neg,كل هذه المواصفات الان تحصلها في سيارات عادية.
Pos,تكد معك لين تطفش و تعطيها أو لادك.
Neg,الصيانة و التكاليف و القطع رح تتعبك.
Pos,سيارات كرف و فخمة و ما تطلب.
Pos,اللانسر افضل بكثير و عند واحد من الشباب لانسر ما شاء الله أكثر من اربع سنوات و ماشيه معه زي اللوز.
Neg,بالمختصر يشرب شرب.
Neg,قيره 4 نمر و ثقيل و مكينة 2700 استهلاكها سيء.
Mix,الفورشنر استخدمته كم شهر 4 سلندر صرفية انسى سيارة اعتمادية درجة أولى في البلد فقط.
Neg,مكينة هايلوكس على جيب بتصارخ المكينة و تشرب بنزين.
Neg,الاوبترا كورية الصنع و المكيف فيه مشكلة في الحساس دايم يخرب.
Mix,العيب اللي أشوفه فيه ارتفاعه الزايد فقط و لكن موتر خدوم.
Mix,الزبده موتر حمار مكده لكن 4 سلندر اذا ما يهمك العزم و الصرفية اقولك خذه.
Neg,اذا العزم من اهم الأمور عندك ابعد عنه.
Mix,4 سلندر ما يصلح الا داخل المدينة سفريات ومعك عفش ان وصل 150 احمد ربك.
Neg,بر ما يصلح ثقيل و تسمع بلوف الماكينة على طول.
Neg,الاوبترا عاشقة للورش.
Pos,تشيل رجلك و معروفة بعملانيتها و قطعها متوفرة و سهلة الصيانة.
Neg, فيها عيب مصنعي بالجير وبدأت ابحث واجوجل و اقرأ و أتحسر أكثر الكل يشكي من الجير و علته باختصار وضبت الجير 3 مرات و لم يخلو من الدقات على الريوس خصوصا و طبعا بتكاليف محترمة و بعد الذهاب عند أكثر من ورشة لأن المعظم لما يشوفها ينحاش عنها جيرها علة و توضيبه بيمرض و يعمل له مشاكل مع الزباين غير طبعا كل ما اصلح قطعة تخرب علي قطعه ثانيه.
Neg,شريت مازدا لكن ماش ما طلعلي الام الظهر الا منها وبعتها.
Neg,فيه صوت صفير يمكن له شهرين.
Neg,هوندا اكورد 2015 اشغلها و تطفى مباشرة.
Neg,محرك ال 2015 الصينية الصناعة فيها عيب مصنعي.
Neg,سيارة قليلة الانتشار و غير مرغوبة اطلاقا و لم تثبت جودتها على حسب علمي وحسب ما قرات.
Neg,ما تنفع في السعودية محركاتها لا تتحمل الحرارة اذا أجود أنواع السيارات مثل تويوتا وفورد ونيسان وغيرهم ما تحملو الحرارة في الخليج تبغى البيجو اللي في بلد حرارته معقولة مثل مصر او لبنان تحتر تتحمل حرارة البلد هنا.
Neg,توقف انتاجها نهائيا لضعف المبيعات عالميا.
Neg,شكلها غريب و ضيقة من الداخل ما تنفع.
Neg,"البيجو فتح لها فرع بتبوك وبعدها قفل, ما لها عملاء."
Neg,اشتريت رينو ميغان و تورطت بقطع الغيار غالية و مكلفة و اللي يسوي الصيانة قليلين.
Neg,الاودي و ال VW  مشكلتها قير DSG الاوتو دبل كلتش كثير ما يخرب و تصليحه مكلف.
Neg,للأسف وكيل الاودي فاشل هي أشرس منافس للسيارات الالمانيه لكن مو عندنا.
Neg,السيارات الالمانية حط 10 الاف احتياط للصيانة يعني لا تدفع كل اللي معك.
Neg,طلع لي صوت قربعة اذا مهدي بتاخذ مطب الصوت كله جاي من اليسار.
Neg,المسجل فجأة صار يطفي ويشتغل يمكن 7 او 8 مرات بعدين يعلق، لا تقدر تشغله و لا تطفيه و لا يستقبل منك اي شي.
Pos,الايجايبات سيارة جيب منظرها جميل دبلها جيد جدا مرتفعة عن الأرض وسيعة و رحبة.
Pos,عملية و صيانتها معروفة و بسيطة.
Pos,سعر و مواصفات و اعتمادية وقطع غيار أسعارها مقبولة كدا.
Pos,واسعة و عزمها ممتاز و الشنطه واسعة.
Mix,الكامري عملية أكثر و قطع غيارها متوفرة لكن نوعا ما غالية.
Pos,اقتصادية و صيانتها سهلة.
Neg,تناقز لدرجة تكسر ظهرك.
Neg,نصحته بصرف النظر عنها لوجود عيب في القير و للأسف شراها و الله ما كملت معه غير شهرين و بيكلمني من أسبوع القير خرب عليه فجأة مسكين كرهها و حلف مايصرف عليها ريال و هو ماجمع ثمنها غير بطلوع الروح الله يعوضه خير.
Pos,سعر مناسب و حجم طيب و عملية بالحيل و قليلة خرابات.
Neg,شريت سيراتو 2015 مستعمله لاحظت مشكلة في الفرامل.
Neg,مشكلة من سستة الفرامل خربانة.
Mix,جيوب مستوبيشي اريح بالصيانة من الامريكي لكن عيبها صرفية البنزين.
Mix,الميتسوبيشي يتفوق و بدرجات عنه من حيث الاستخدام و الجوده و الاعتمادية القطع ركبها و انساها لكنها أغلى.
Pos,المساعدات هاذي كلمة كفو قليل في حقها خدومة.
Neg,يدبلون القيمة 4 و 5 أضعاف و ممكن أكثر.
Pos,البليزر من ناحية المكينة و الجير هو افضل من الاكسبلورر أقل شي ما فيه العيوب المصنعية القاتلة على عدة أنواعها للعيوب من حساسات و غيره.
Pos,المساعدات جربتها على اف جي اماميه و ممتازة جدا.
Neg,إنفقع المساعد بدون مقدمات او اسباب.
Neg,استغلال الوكالات لنا بأسعارهم الخيالية حسبي الله عليهم.
Neg,مشكلة ضغط الهوا زي ما هو مره ضعيف.
Neg,المكيف مكتوم.
Neg,اليوم الصبح شغلت السيارة طلع صوت غريب و بعدها دخان من الكمبرسر و تطفي السيارة.
Mix,من أروع السيارات عزم و رساوة و لكن قطع ما فيه حاليا.
Neg,أتعبني بالخرابات و العلامات.
Neg,الخليجي ما يضمنها الجبر أبدا.
Neg,ابعد عن الالتيما و اللي يقولك القير ال CVT حق الالتيما نفس حق الهوندا ما جرب الاثنين جربت الاثنين و ضرب حق الالتيما على 130 الف كيلو قير فاشل بكل ما تعنيه الكلمة.
Pos,الأكورد تستاهل كل ريال يندفع فيها موتر مكده و مواصفات متوفرة من مثبت سرعة وتحكم دركسون وأنظمة السلامة حتى فئة الاستندر.
Pos,انا أشوف قير الالتيما كويس.
Neg,لا ما تستاهل ابد قيمتها.
Neg,السعر مرتفع مقابل المواصفات.
Pos,الموديل الحالي ميكانيكياً و جوده صنع و خامات ممتاز.
Neg,عزل أرضي تعبان و مواصفات فقيرة و سعر مرتفع و مقاعد غير مريحة.
Pos,املك اكورد 6 سلندر و الحمد لله أشوفها تستحق القيمة مقابل المواصفات اللي فيها.
Neg,عزل الهواء و الصوت معدوم،أمشي 120km كأني ماشي 200! حنينها لا إله إلا الله. ازعاج عالخط.
Pos,انصحك باثفندر بحكم توفر و رخص قطع الغيار و وسع المساحة الداخلية و قوة المكينة أيضا.
Neg,"المكينة الكبيرة 3,5 تسخن بالطعوس و الطلوع بالجبال و البر."
Neg,جوده البودي أبو كلب، كأنه كرتون بكل معنى الكلمة طبعاً الددسن اللي كانت معي مكسيكي أخس شيء.
Neg,عيوبها و كل الجيوب معروف الصرفية.
Neg,الباثفندر سعره مناسب و قوي.
Neg,قيرها محشور على الآخر.
Neg,باثفيندر ما هو جيد للأمانة الموديلات اللي ذكرت و أعطاله واجد ما يتحمل الجلد.
Neg,ما فيه عزم لا تدور عزم.
